NOTICE  2024-04-05 04:12:06.8219 StratumServer SHARE FOUND: mainchain height 3120434, sidechain height 0, diff 100000, client 192.168.1.8:43528, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 50.000%
NOTICE  2024-04-05 04:13:27.7315 StratumServer SHARE FOUND: mainchain height 3120434, sidechain height 1, diff 100000, client 127.0.0.1:60868, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 125.000%
NOTICE  2024-04-05 04:13:40.5307 StratumServer SHARE FOUND: mainchain height 3120434, sidechain height 2, diff 100000, client 127.0.0.1:60868, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 50.000%
NOTICE  2024-04-05 04:14:50.9744 StratumServer SHARE FOUND: mainchain height 3120434, sidechain height 3, diff 100000, client 192.168.1.8:43528, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 100.000%
NOTICE  2024-04-05 04:16:08.4051 StratumServer SHARE FOUND: mainchain height 3120435, sidechain height 4, diff 100000, client 192.168.1.8:43528, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 75.000%
NOTICE  2024-04-05 04:18:42.9933 StratumServer SHARE FOUND: mainchain height 3120435, sidechain height 5, diff 100000, client 192.168.1.5:47856, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 175.001%
NOTICE  2024-04-05 04:19:30.1534 StratumServer SHARE FOUND: mainchain height 3120436, sidechain height 6, diff 100000, client 192.168.1.5:47856, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 175.001%
NOTICE  2024-04-05 04:43:03.7995 StratumServer SHARE FOUND: mainchain height 3120449, sidechain height 7316481, diff 102130270, client 192.168.1.5:47856, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 6.316%
NOTICE  2024-04-05 06:54:55.7481 StratumServer SHARE FOUND: mainchain height 3120515, sidechain height 7317263, diff 99411174, client 192.168.1.8:43528, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 23.176%
NOTICE  2024-04-05 07:42:09.1737 StratumServer SHARE FOUND: mainchain height 3120537, sidechain height 0, diff 100000, client 192.168.1.5:53760, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 100.001%
NOTICE  2024-04-05 07:43:28.7168 StratumServer SHARE FOUND: mainchain height 3120537, sidechain height 1, diff 100000, client 192.168.1.8:50620, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 200.002%
NOTICE  2024-04-05 09:15:36.1186 StratumServer SHARE FOUND: mainchain height 3120591, sidechain height 7318082, diff 100543493, client 192.168.1.2:50596, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 22.365%
NOTICE  2024-04-05 09:19:24.8616 StratumServer SHARE FOUND: mainchain height 3120594, sidechain height 7318105, diff 101074349, client 192.168.1.5:53760, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 0.993%
NOTICE  2024-04-05 10:13:49.5228 StratumServer SHARE FOUND: mainchain height 3120624, sidechain height 7318394, diff 101146077, client 192.168.1.7:46754, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 14.222%
NOTICE  2024-04-05 14:53:30.2339 StratumServer SHARE FOUND: mainchain height 3120768, sidechain height 7320092, diff 102722338, client 192.168.1.5:53760, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 72.481%
NOTICE  2024-04-05 18:14:20.9138 StratumServer SHARE FOUND: mainchain height 3120869, sidechain height 7321251, diff 106671393, client 192.168.1.7:46754, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 50.670%
NOTICE  2024-04-06 01:59:44.2762 StratumServer SHARE FOUND: mainchain height 3121082, sidechain height 0, diff 100000, client 192.168.1.7:37788, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 100.001%
NOTICE  2024-04-06 02:00:01.3011 StratumServer SHARE FOUND: mainchain height 3121082, sidechain height 1, diff 100000, client 127.0.0.1:50564, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 175.001%
NOTICE  2024-04-06 02:00:02.8670 StratumServer SHARE FOUND: mainchain height 3121082, sidechain height 2, diff 100000, client 192.168.1.7:37788, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 100.001%
NOTICE  2024-04-06 02:00:10.3852 StratumServer SHARE FOUND: mainchain height 3121082, sidechain height 3, diff 100000, client 127.0.0.1:50564, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 25.000%
NOTICE  2024-04-06 02:00:38.1737 StratumServer SHARE FOUND: mainchain height 3121083, sidechain height 4, diff 100000, client 192.168.1.5:53466, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 75.000%
NOTICE  2024-04-06 02:00:55.8487 StratumServer SHARE FOUND: mainchain height 3121084, sidechain height 5, diff 100000, client 192.168.1.5:53466, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 50.000%
NOTICE  2024-04-06 02:00:59.7169 StratumServer SHARE FOUND: mainchain height 3121085, sidechain height 6, diff 100000, client 192.168.1.7:37788, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 150.001%
NOTICE  2024-04-06 02:01:11.6418 StratumServer SHARE FOUND: mainchain height 3121085, sidechain height 7, diff 100000, client 192.168.1.8:33038, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 50.000%
NOTICE  2024-04-06 02:01:16.4326 StratumServer SHARE FOUND: mainchain height 3121085, sidechain height 8, diff 100000, client 127.0.0.1:50564, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 25.000%
NOTICE  2024-04-07 09:08:33.7048 StratumServer SHARE FOUND: mainchain height 3122000, sidechain height 7876036, diff 1760351679, client 192.168.1.7:50144, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 19.025%
NOTICE  2024-04-08 09:11:22.3645 StratumServer SHARE FOUND: mainchain height 3122732, sidechain height 0, diff 100000, client 192.168.1.5:48614, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 100.001%
NOTICE  2024-04-08 09:12:02.8512 StratumServer SHARE FOUND: mainchain height 3122732, sidechain height 1, diff 100000, client 192.168.1.7:58944, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 200.002%
NOTICE  2024-04-09 17:35:03.2973 StratumServer SHARE FOUND: mainchain height 3123718, sidechain height 0, diff 100000, client 192.168.1.5:44354, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 100.001%
NOTICE  2024-04-10 06:34:15.2361 StratumServer SHARE FOUND: mainchain height 3124122, sidechain height 7899890, diff 1284772885, client 192.168.1.7:53418, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 10.418%
NOTICE  2024-04-11 00:53:53.0213 StratumServer SHARE FOUND: mainchain height 3124643, sidechain height 0, diff 100000, client 192.168.1.5:37608, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 100.001%
NOTICE  2024-04-11 00:54:04.2365 StratumServer SHARE FOUND: mainchain height 3124643, sidechain height 1, diff 100000, client 192.168.1.7:59054, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 150.001%
NOTICE  2024-04-12 07:11:21.7527 StratumServer SHARE FOUND: mainchain height 3125534, sidechain height 0, diff 100000, client 192.168.1.7:37848, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 100.001%
NOTICE  2024-04-12 07:11:24.7343 StratumServer SHARE FOUND: mainchain height 3125534, sidechain height 1, diff 100000, client 192.168.1.7:37848, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 200.002%
NOTICE  2024-04-12 07:11:38.1216 StratumServer SHARE FOUND: mainchain height 3125534, sidechain height 2, diff 100000, client 192.168.1.5:51412, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 25.000%
NOTICE  2024-04-12 07:12:59.2501 StratumServer SHARE FOUND: mainchain height 3125536, sidechain height 3, diff 100000, client 192.168.1.7:37848, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 150.001%
NOTICE  2024-04-12 07:13:03.0634 StratumServer SHARE FOUND: mainchain height 3125536, sidechain height 4, diff 100000, client 192.168.1.5:51412, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 25.000%
NOTICE  2024-04-12 18:40:41.1308 StratumServer SHARE FOUND: mainchain height 3125887, sidechain height 0, diff 100000, client 192.168.1.7:42420, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 100.001%
NOTICE  2024-04-12 19:03:33.2592 StratumServer SHARE FOUND: mainchain height 3125903, sidechain height 0, diff 100000, client 192.168.1.7:45898, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 100.001%
NOTICE  2024-04-13 14:11:03.2110 StratumServer SHARE FOUND: mainchain height 3126503, sidechain height 0, diff 100000, client 192.168.1.2:44424, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 6.248%
NOTICE  2024-04-13 14:11:28.7084 StratumServer SHARE FOUND: mainchain height 3126503, sidechain height 1, diff 100000, client 192.168.1.2:44424, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 31.240%
NOTICE  2024-04-13 14:12:42.5008 StratumServer SHARE FOUND: mainchain height 3126504, sidechain height 2, diff 111111, client 192.168.1.8:37722, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 95.594%
NOTICE  2024-04-14 06:09:28.4466 StratumServer SHARE FOUND: mainchain height 3126967, sidechain height 7392144, diff 392967651, client 192.168.1.7:45066, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 62.115%
NOTICE  2024-04-14 10:14:25.0073 StratumServer SHARE FOUND: mainchain height 3127073, sidechain height 7392674, diff 269748296, client 192.168.1.7:45066, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 24.098%
NOTICE  2024-04-15 01:36:21.9490 StratumServer SHARE FOUND: mainchain height 3127563, sidechain height 7397128, diff 98487896, client 192.168.1.7:45066, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 230.588%
NOTICE  2024-04-15 03:44:35.1773 StratumServer SHARE FOUND: mainchain height 3127623, sidechain height 7397841, diff 97300335, client 192.168.1.2:39932, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 32.559%
NOTICE  2024-04-15 05:42:24.0264 StratumServer SHARE FOUND: mainchain height 3127678, sidechain height 7398532, diff 98979808, client 192.168.1.5:60008, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 26.473%
NOTICE  2024-04-15 08:31:58.6731 StratumServer SHARE FOUND: mainchain height 3127745, sidechain height 7399539, diff 102798943, client 192.168.1.7:48500, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 35.847%
NOTICE  2024-04-15 19:28:55.3289 StratumServer SHARE FOUND: mainchain height 3128095, sidechain height 7403389, diff 98972980, client 192.168.1.7:48500, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 145.642%
NOTICE  2024-04-16 13:08:15.4727 StratumServer SHARE FOUND: mainchain height 3128617, sidechain height 7409811, diff 140952264, client 192.168.1.5:60008, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 187.038%
NOTICE  2024-04-16 16:52:32.0024 StratumServer SHARE FOUND: mainchain height 3128725, sidechain height 7411036, diff 138543592, client 192.168.1.5:60008, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 45.347%
NOTICE  2024-04-16 17:40:23.7460 StratumServer SHARE FOUND: mainchain height 3128755, sidechain height 7411274, diff 138121416, client 192.168.1.7:48500, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 10.494%
NOTICE  2024-04-17 03:19:41.4125 StratumServer SHARE FOUND: mainchain height 3129062, sidechain height 7414178, diff 89055773, client 192.168.1.7:48500, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 160.898%
NOTICE  2024-04-17 08:00:12.5490 StratumServer SHARE FOUND: mainchain height 3129177, sidechain height 7415812, diff 90018529, client 192.168.1.5:60008, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 70.047%
NOTICE  2024-04-17 19:01:13.5644 StratumServer SHARE FOUND: mainchain height 3129531, sidechain height 7419751, diff 107731575, client 192.168.1.5:60008, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 162.244%
NOTICE  2024-04-17 22:53:44.8862 StratumServer SHARE FOUND: mainchain height 3129651, sidechain height 7421457, diff 121738974, client 192.168.1.7:48500, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 50.144%
NOTICE  2024-04-18 21:36:23.7451 StratumServer SHARE FOUND: mainchain height 3130290, sidechain height 7429072, diff 117391902, client 192.168.1.5:60008, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 311.232%
NOTICE  2024-04-19 18:22:07.0106 StratumServer SHARE FOUND: mainchain height 3130928, sidechain height 1, diff 100000, client 192.168.1.7:34676, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 50.000%
NOTICE  2024-04-19 18:22:15.6431 StratumServer SHARE FOUND: mainchain height 3130928, sidechain height 2, diff 100000, client 192.168.1.7:34676, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 50.000%
NOTICE  2024-04-19 18:22:31.4384 StratumServer SHARE FOUND: mainchain height 3130928, sidechain height 3, diff 100000, client 192.168.1.7:34676, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 125.000%
NOTICE  2024-04-19 19:09:59.9134 StratumServer SHARE FOUND: mainchain height 3130948, sidechain height 7436255, diff 116548421, client 192.168.1.8:45618, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 11.486%
NOTICE  2024-04-19 23:06:24.0406 StratumServer SHARE FOUND: mainchain height 3131051, sidechain height 7437519, diff 96001425, client 192.168.1.7:34676, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 60.543%
NOTICE  2024-04-20 10:26:38.7286 StratumServer SHARE FOUND: mainchain height 3131405, sidechain height 0, diff 100000, client 192.168.1.7:53236, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 50.000%
NOTICE  2024-04-20 10:27:01.3466 StratumServer SHARE FOUND: mainchain height 3131405, sidechain height 1, diff 100000, client 192.168.1.5:38808, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 175.000%
NOTICE  2024-04-20 10:27:02.8514 StratumServer SHARE FOUND: mainchain height 3131405, sidechain height 2, diff 100000, client 192.168.1.5:38808, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 50.000%
NOTICE  2024-04-20 10:27:14.5208 StratumServer SHARE FOUND: mainchain height 3131405, sidechain height 3, diff 100000, client 192.168.1.5:38808, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 100.000%
NOTICE  2024-04-20 10:27:19.9615 StratumServer SHARE FOUND: mainchain height 3131405, sidechain height 4, diff 100000, client 192.168.1.5:38808, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 56.250%
NOTICE  2024-04-20 10:27:30.1197 StratumServer SHARE FOUND: mainchain height 3131405, sidechain height 5, diff 100000, client 192.168.1.5:38808, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 100.000%
NOTICE  2024-04-20 10:27:46.0483 StratumServer SHARE FOUND: mainchain height 3131405, sidechain height 6, diff 100000, client 192.168.1.7:53236, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 125.000%
NOTICE  2024-04-20 10:27:46.0567 StratumServer SHARE FOUND: mainchain height 3131405, sidechain height 6, diff 100000, client 192.168.1.5:38808, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 50.000%
NOTICE  2024-04-20 10:51:24.1605 StratumServer SHARE FOUND: mainchain height 3131421, sidechain height 7441527, diff 92956443, client 192.168.1.7:53236, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 5.874%
NOTICE  2024-04-20 11:20:38.1751 StratumServer SHARE FOUND: mainchain height 3131444, sidechain height 7441694, diff 90006157, client 192.168.1.7:53236, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 8.095%
NOTICE  2024-04-20 21:10:25.5035 StratumServer SHARE FOUND: mainchain height 3131752, sidechain height 0, diff 100000, client 192.168.1.7:59528, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 100.001%
NOTICE  2024-04-20 21:11:05.7395 StratumServer SHARE FOUND: mainchain height 3131754, sidechain height 1, diff 100000, client 192.168.1.8:47058, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 137.501%
NOTICE  2024-04-20 21:11:12.3460 StratumServer SHARE FOUND: mainchain height 3131754, sidechain height 2, diff 100000, client 192.168.1.5:57508, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 56.250%
NOTICE  2024-04-20 23:12:19.5009 StratumServer SHARE FOUND: mainchain height 3131811, sidechain height 7445877, diff 99427887, client 192.168.1.5:57508, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 34.021%
NOTICE  2024-04-21 03:44:26.4219 StratumServer SHARE FOUND: mainchain height 3131952, sidechain height 7447447, diff 100575969, client 192.168.1.5:57508, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 75.816%
NOTICE  2024-04-21 06:11:08.7665 StratumServer SHARE FOUND: mainchain height 3132026, sidechain height 7448313, diff 98013618, client 192.168.1.7:59528, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 43.416%
NOTICE  2024-04-21 15:02:02.6928 StratumServer SHARE FOUND: mainchain height 3132298, sidechain height 7451432, diff 100116773, client 192.168.1.7:59528, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 145.663%
NOTICE  2024-04-21 17:56:44.3434 StratumServer SHARE FOUND: mainchain height 3132382, sidechain height 7452412, diff 102082157, client 192.168.1.5:57508, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 43.264%
NOTICE  2024-04-22 01:50:20.9057 StratumServer SHARE FOUND: mainchain height 3132590, sidechain height 7455117, diff 94356136, client 192.168.1.7:59528, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 128.528%
NOTICE  2024-04-22 04:56:06.9223 StratumServer SHARE FOUND: mainchain height 3132678, sidechain height 7456195, diff 95705591, client 192.168.1.8:45234, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 53.318%
NOTICE  2024-04-22 15:31:52.1546 StratumServer SHARE FOUND: mainchain height 3133019, sidechain height 7459903, diff 96890529, client 192.168.1.7:59528, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 174.493%
NOTICE  2024-04-22 20:04:34.4629 StratumServer SHARE FOUND: mainchain height 3133162, sidechain height 7461505, diff 100457540, client 192.168.1.5:47700, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 55.806%
NOTICE  2024-04-22 22:39:59.8433 StratumServer SHARE FOUND: mainchain height 3133231, sidechain height 7462398, diff 98577206, client 192.168.1.5:47700, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 41.178%
NOTICE  2024-04-23 00:48:48.8858 StratumServer SHARE FOUND: mainchain height 3133279, sidechain height 7463120, diff 98451362, client 192.168.1.8:41568, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 36.925%
NOTICE  2024-04-23 10:45:18.7065 StratumServer SHARE FOUND: mainchain height 3133572, sidechain height 7466627, diff 98489361, client 192.168.1.7:59528, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 160.522%
NOTICE  2024-04-23 16:43:41.1971 StratumServer SHARE FOUND: mainchain height 3133778, sidechain height 7468705, diff 98634374, client 192.168.1.2:39008, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 103.530%
NOTICE  2024-04-23 17:18:37.4804 StratumServer SHARE FOUND: mainchain height 3133786, sidechain height 7468937, diff 98465190, client 192.168.1.7:59528, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 10.149%
NOTICE  2024-04-23 19:00:21.4861 StratumServer SHARE FOUND: mainchain height 3133840, sidechain height 7469527, diff 101450530, client 192.168.1.7:59528, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 27.667%
NOTICE  2024-04-23 20:15:30.3970 StratumServer SHARE FOUND: mainchain height 3133877, sidechain height 7469944, diff 102723671, client 192.168.1.8:41568, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 22.464%
NOTICE  2024-04-23 21:02:37.7428 StratumServer SHARE FOUND: mainchain height 3133894, sidechain height 7470235, diff 101776840, client 192.168.1.5:47700, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 13.447%
NOTICE  2024-04-23 21:55:57.5560 StratumServer SHARE FOUND: mainchain height 3133919, sidechain height 7470551, diff 102896962, client 192.168.1.7:59528, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 13.261%
NOTICE  2024-04-24 00:02:55.1750 StratumServer SHARE FOUND: mainchain height 3133966, sidechain height 7471284, diff 102352031, client 192.168.1.8:41568, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 35.366%
NOTICE  2024-04-24 03:32:47.4041 StratumServer SHARE FOUND: mainchain height 3134064, sidechain height 0, diff 100000, client 192.168.1.7:51610, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 100.001%
NOTICE  2024-04-24 04:50:44.6439 StratumServer SHARE FOUND: mainchain height 3134095, sidechain height 7472970, diff 100735562, client 192.168.1.5:39684, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 19.907%
NOTICE  2024-04-24 05:38:57.2590 StratumServer SHARE FOUND: mainchain height 3134119, sidechain height 7473273, diff 101521803, client 192.168.1.7:51610, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 12.156%
NOTICE  2024-04-24 06:40:14.7541 StratumServer SHARE FOUND: mainchain height 3134153, sidechain height 7473612, diff 102959453, client 192.168.1.5:39684, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 16.644%
NOTICE  2024-04-24 11:15:13.5722 StratumServer SHARE FOUND: mainchain height 3134301, sidechain height 7475188, diff 99751654, client 192.168.1.5:39684, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 74.609%
NOTICE  2024-04-24 16:08:45.2191 StratumServer SHARE FOUND: mainchain height 3134457, sidechain height 7476922, diff 103657988, client 192.168.1.7:51610, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 79.463%
NOTICE  2024-04-25 01:23:49.5966 StratumServer SHARE FOUND: mainchain height 3134742, sidechain height 7480099, diff 102051921, client 192.168.1.5:39684, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 147.984%
NOTICE  2024-04-25 04:17:46.4017 StratumServer SHARE FOUND: mainchain height 3134817, sidechain height 7481025, diff 94201284, client 192.168.1.5:39684, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 48.495%
NOTICE  2024-04-25 06:13:17.3442 StratumServer SHARE FOUND: mainchain height 3134876, sidechain height 7481764, diff 94707594, client 192.168.1.7:51610, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 32.024%
NOTICE  2024-04-25 06:46:42.0554 StratumServer SHARE FOUND: mainchain height 3134897, sidechain height 7481966, diff 94886494, client 192.168.1.5:39684, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 11.676%
NOTICE  2024-04-25 15:10:47.6404 StratumServer SHARE FOUND: mainchain height 3135156, sidechain height 7484905, diff 102027851, client 192.168.1.5:39684, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 137.588%
NOTICE  2024-04-25 18:48:41.2997 StratumServer SHARE FOUND: mainchain height 3135275, sidechain height 7486140, diff 100906828, client 192.168.1.8:59258, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 60.127%
NOTICE  2024-04-25 21:52:58.5580 StratumServer SHARE FOUND: mainchain height 3135358, sidechain height 7487152, diff 96131113, client 192.168.1.7:51610, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 50.471%
NOTICE  2024-04-26 17:10:08.7879 StratumServer SHARE FOUND: mainchain height 3135949, sidechain height 7493924, diff 96546560, client 192.168.1.2:44658, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 317.127%
NOTICE  2024-04-26 17:57:41.8609 StratumServer SHARE FOUND: mainchain height 3135976, sidechain height 7494191, diff 97827438, client 192.168.1.7:51610, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 13.450%
NOTICE  2024-04-26 22:52:09.9451 StratumServer SHARE FOUND: mainchain height 3136123, sidechain height 7495935, diff 99726241, client 192.168.1.5:39684, user 48wY7nYBsQNSw7v4LjoNnvCtk1Y6GLN, effort 76.698%
